update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
22082,1.0,0.9843001365661621,[ -7.8473769   6.6817816 106.       ],"(-4, 3, 10)",[21 29 18 28],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
22406,1.16,1.1475412845611572,[ -9.33176843   7.02560403 105.5       ],"(-5, 3, 10)",[22 20 19  6],"[[-10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [  0.    0.7]]"
22747,1.0,0.9819769859313965,[ -8.13294749   6.84243334 112.5       ],"(-5, 3, 11)",[21 11 18 29],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
23069,1.11,1.0970232486724854,[ -7.56706989   7.58581564 108.5       ],"(-4, 3, 10)",[13 22  1 19],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
23401,0.99,0.9755184650421143,[ -8.89815868   6.33027492 109.5       ],"(-5, 3, 10)",[21 11 18 29],"[[-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
23734,1.06,1.0440032482147217,[ -9.78126825   6.35339951 111.        ],"(-5, 3, 11)",[13 22 24  6],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
24063,1.07,1.0557355880737305,[ -9.60423759   5.95627706 109.5       ],"(-5, 2, 10)",[14 21 11 20],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
24389,1.07,1.05564284324646,[ -8.15600875   7.60496263 107.5       ],"(-5, 3, 10)",[ 6 22 24  1],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
24708,1.01,0.9909665584564209,[ -8.26652404   7.12259871 105.5       ],"(-5, 3, 10)",[11 21 14 18],"[[  0.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
25043,1.1,1.0800364017486572,[ -9.21488213   6.83932938 109.        ],"(-5, 3, 10)",[13 22  6 24],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
25383,1.0,0.9880211353302002,[ -8.7608209    6.73270858 111.5       ],"(-5, 3, 11)",[11 21 18 12],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]]"
25721,1.09,1.0733139514923096,[ -9.85786741   5.99141015 114.5       ],"(-5, 2, 11)",[ 6 22 24  1],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]]"
26041,1.04,1.0233235359191895,[ -8.48102211   6.5484664  108.5       ],"(-5, 3, 10)",[21 11 12 18],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
26375,1.05,1.0336718559265137,[ -9.61227337   6.02717586 112.        ],"(-5, 3, 11)",[22 13 24  6],"[[-10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
26699,1.03,1.0179178714752197,[ -8.31424157   7.5649608  108.        ],"(-5, 3, 10)",[21 11 12 29],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
27029,1.08,1.065087080001831,[ -9.26581082   6.40252976 108.5       ],"(-5, 3, 10)",[13 22  6  4],"[[ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]
 [  0.    0.7]]"
27362,0.98,0.965644121170044,[ -7.62324926   8.68675399 107.5       ],"(-4, 4, 10)",[21 11 12  5],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
27702,1.06,1.0480523109436035,[ -8.98358953   6.38914288 116.        ],"(-5, 3, 11)",[14 13  6 22],"[[  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]
 [-10.    0.7]]"
28031,1.01,0.9932725429534912,[ -8.84294942   6.82609856 111.        ],"(-5, 3, 11)",[21 11 12  5],"[[-10.    0.7]
 [  0.    0.7]
 [ 10.    0.7]
 [  0.    0.7]]"
28352,1.17,1.1564481258392334,[ -8.78511485   6.80459598 109.5       ],"(-5, 3, 10)",[22 20  1  6],"[[-10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [  0.    0.7]]"
28671,1.0,0.9856452941894531,[ -8.21368043   7.30003465 106.5       ],"(-5, 3, 10)",[11 21 12 18],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
29003,1.07,1.0585181713104248,[ -7.08231112   8.88248965 109.5       ],"(-4, 4, 10)",[13 24 22 14],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
29350,1.03,1.009153127670288,[ -8.80045813   8.04247946 114.        ],"(-5, 4, 11)",[11 21 12 18],"[[  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]
 [-10.    0.3]]"
29682,1.04,1.0250828266143799,[ -8.94439902   8.40174875 107.5       ],"(-5, 4, 10)",[27 22 24  6],"[[  0.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
30000,0.98,0.9643588066101074,[ -7.43468673   8.7194292  106.5       ],"(-4, 4, 10)",[11  5 21 12],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
30335,1.07,1.0510077476501465,[ -8.48935062   7.7139731  112.        ],"(-5, 3, 11)",[27 13 23  6],"[[ 0.   0.7]
 [10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]]"
30671,1.0,0.9825549125671387,[ -8.40646298   8.45875054 109.5       ],"(-5, 4, 10)",[11  5 21 12],"[[  0.    0.7]
 [  0.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
