update_start_idx_R,update_latency_R,update_dur_R,input_reduced_R,grid_key_R,replayed_bins_R,replayed_bins_task_label_R
4593,1.09,1.070033311843872,[ -9.73088605   8.07141461 110.        ],"(-5, 4, 11)",[17 21 18  1],"[[ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.7]
 [ 10.    0.3]]"
4924,1.05,1.0372037887573242,[-10.84122699   6.51476475 111.5       ],"(-6, 3, 11)",[20 26 22 12],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [ 10.    0.3]]"
5250,1.09,1.0786972045898438,[ -9.43530798   7.94989972 107.5       ],"(-5, 3, 10)",[17  1 18 21],"[[ 10.    0.7]
 [ 10.    0.3]
 [ 10.    0.7]
 [-10.    0.3]]"
5577,1.09,1.0690114498138428,[ -9.50765574   6.91102218 109.5       ],"(-5, 3, 10)",[20 22 26  0],"[[ 10.    0.7]
 [-10.    0.3]
 [  0.    0.7]
 [  0.    0.3]]"
5907,1.0,0.983466625213623,[-10.07603489   7.7581147  109.5       ],"(-6, 3, 10)",[17  8 16 18],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
6239,1.16,1.1454708576202393,[ -9.37668194   7.20580478 109.        ],"(-5, 3, 10)",[20 12  0 26],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [ 0.   0.7]]"
6570,1.1,1.0862040519714355,[ -9.36211553   7.49402516 111.5       ],"(-5, 3, 11)",[17  8 22 16],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.3]
 [-10.    0.7]]"
6903,1.1,1.079908847808838,[ -9.189234     8.39628646 111.        ],"(-5, 4, 11)",[20 26 12  0],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
7240,1.1,1.082970380783081,[-11.57342105   6.68773149 111.5       ],"(-6, 3, 11)",[17  1 18 14],"[[10.   0.7]
 [10.   0.3]
 [10.   0.7]
 [10.   0.3]]"
7561,1.21,1.1950633525848389,[-10.39170218   7.16105463 109.5       ],"(-6, 3, 10)",[20 22  3 21],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
7893,1.19,1.1696839332580566,[-11.20713393   6.36022702 112.5       ],"(-6, 3, 11)",[17 12  0  1],"[[10.   0.7]
 [10.   0.3]
 [ 0.   0.3]
 [10.   0.3]]"
8224,1.19,1.1760387420654297,[ -9.58133759   7.8224849  110.5       ],"(-5, 3, 11)",[20 22 21  3],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.3]]"
8547,1.14,1.1267502307891846,[ -9.34062861   7.00839743 108.        ],"(-5, 3, 10)",[17  0 18  1],"[[10.   0.7]
 [ 0.   0.3]
 [10.   0.7]
 [10.   0.3]]"
8871,1.11,1.0979368686676025,[-10.18465946   6.77108921 109.5       ],"(-6, 3, 10)",[20 22 12 16],"[[ 10.    0.7]
 [-10.    0.3]
 [ 10.    0.3]
 [-10.    0.7]]"
9208,1.13,1.1166412830352783,[-10.57710514   7.0828381  110.        ],"(-6, 3, 11)",[17 14  1 18],"[[10.   0.7]
 [10.   0.3]
 [10.   0.3]
 [10.   0.7]]"
9546,1.1,1.085150957107544,[-11.13020552   6.69124005 112.        ],"(-6, 3, 11)",[20 26  5 22],"[[ 10.    0.7]
 [  0.    0.7]
 [  0.    0.7]
 [-10.    0.3]]"
9876,1.07,1.0574212074279785,[-10.22392101   7.34959038 109.5       ],"(-6, 3, 10)",[17 18  8  7],"[[ 10.    0.7]
 [ 10.    0.7]
 [-10.    0.7]
 [  0.    0.7]]"
10202,1.07,1.0583510398864746,[-10.36263036   7.35631172 107.5       ],"(-6, 3, 10)",[20 27 26 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
10528,1.01,0.995635986328125,[ -8.60472452   9.50464454 104.        ],"(-5, 4, 10)",[17 16  8 18],"[[ 10.    0.7]
 [-10.    0.7]
 [-10.    0.7]
 [ 10.    0.7]]"
10861,1.05,1.0336432456970215,[ -9.68983304   6.79854424 112.        ],"(-5, 3, 11)",[20  7 27 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
11190,1.18,1.1628198623657227,[ -9.65612532   7.93914825 108.        ],"(-5, 3, 10)",[17  8 14 21],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [-10.    0.3]]"
11523,1.12,1.099236011505127,[-10.01738221   7.06635382 113.5       ],"(-6, 3, 11)",[20  7 27 12],"[[10.   0.7]
 [ 0.   0.7]
 [ 0.   0.7]
 [10.   0.3]]"
11849,1.11,1.0984065532684326,[ -8.85590147   9.75849388 107.5       ],"(-5, 4, 10)",[17  8 14  1],"[[ 10.    0.7]
 [-10.    0.7]
 [ 10.    0.3]
 [ 10.    0.3]]"
12176,1.04,1.0285224914550781,[ -8.9733316    7.43858787 110.        ],"(-5, 3, 11)",[20 27 22  7],"[[ 10.    0.7]
 [  0.    0.7]
 [-10.    0.3]
 [  0.    0.7]]"
12506,1.13,1.1127855777740479,[-11.93367853   6.72594443 110.5       ],"(-6, 3, 11)",[17 21 13 16],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.3]
 [-10.    0.7]]"
12845,1.17,1.1571791172027588,[-10.6913868    6.59812637 113.        ],"(-6, 3, 11)",[20 27 12  0],"[[10.   0.7]
 [ 0.   0.7]
 [10.   0.3]
 [ 0.   0.3]]"
13173,1.08,1.0644152164459229,[ -9.53043668   8.26439672 110.5       ],"(-5, 4, 11)",[17 22  8 19],"[[ 10.    0.7]
 [-10.    0.3]
 [-10.    0.7]
 [  0.    0.7]]"
